iter	Passed	Remaining
944	19347	1126
945	19370	1105
946	19392	1085
947	19413	1064
948	19439	1044
949	19464	1024
950	19480	1003
951	19501	983
952	19508	962
953	19519	941
954	19535	920
955	19551	899
956	19573	879
957	19595	859
958	19616	838
959	19641	818
960	19661	797
961	19687	777
962	19712	757
963	19728	736
964	19749	716
965	19770	695
966	19792	675
967	19818	655
968	19833	634
969	19854	614
970	19861	593
971	19877	572
972	19897	552
973	19913	531
974	19934	511
975	19958	490
976	19974	470
977	19986	449
978	20013	429
979	20035	408
980	20061	388
981	20077	368
982	20106	347
983	20126	327
984	20151	306
985	20167	286
986	20188	265
987	20216	245
988	20233	225
989	20254	204
990	20279	184
991	20294	163
992	20315	143
993	20326	122
994	20351	102
995	20377	81
996	20392	61
997	20409	40
998	20426	20
999	20447	0
